name,kind,area,status,return_or_variable_type,parameters
felica_calculate_mac_write,Function,Other libraries and assets,not_bridged,void,"mbedtls_des3_context*, const uint8_t*, const uint8_t*, const uint8_t*, const uint8_t*, uint8_t*"
felica_calculate_session_key,Function,Other libraries and assets,not_bridged,void,"mbedtls_des3_context*, const uint8_t*, const uint8_t*, uint8_t*"
felica_check_mac,Function,Other libraries and assets,not_bridged,_Bool,"mbedtls_des3_context*, const uint8_t*, const uint8_t*, const uint8_t*, const uint8_t, uint8_t*"
felica_copy,Function,Other libraries and assets,not_bridged,void,"FelicaData*, const FelicaData*"
felica_crc_append,Function,Other libraries and assets,not_bridged,void,BitBuffer*
felica_crc_check,Function,Other libraries and assets,not_bridged,_Bool,const BitBuffer*
felica_crc_trim,Function,Other libraries and assets,not_bridged,void,BitBuffer*
felica_free,Function,Other libraries and assets,not_bridged,void,FelicaData*
felica_get_base_data,Function,Other libraries and assets,not_bridged,FelicaData*,const FelicaData*
felica_get_device_name,Function,Other libraries and assets,not_bridged,const char*,"const FelicaData*, NfcDeviceNameType"
felica_get_ic_name,Function,Other libraries and assets,not_bridged,void,"const FelicaData*, FuriString*"
felica_get_uid,Function,Other libraries and assets,not_bridged,const uint8_t*,"const FelicaData*, size_t*"
felica_get_workflow_type,Function,Other libraries and assets,not_bridged,void,FelicaData*
felica_is_equal,Function,Other libraries and assets,not_bridged,_Bool,"const FelicaData*, const FelicaData*"
felica_load,Function,Other libraries and assets,not_bridged,_Bool,"FelicaData*, FlipperFormat*, uint32_t"
felica_poller_activate,Function,Other libraries and assets,not_bridged,FelicaError,"FelicaPoller*, FelicaData*"
felica_poller_read_blocks,Function,Other libraries and assets,not_bridged,FelicaError,"FelicaPoller*, const uint8_t, const uint8_t* const, uint16_t, FelicaPollerReadCommandResponse** const"
felica_poller_sync_read,Function,Other libraries and assets,not_bridged,FelicaError,"Nfc*, FelicaData*, const FelicaCardKey*"
felica_reset,Function,Other libraries and assets,not_bridged,void,FelicaData*
felica_save,Function,Other libraries and assets,not_bridged,_Bool,"const FelicaData*, FlipperFormat*"
felica_service_get_attribute_string,Function,Other libraries and assets,not_bridged,void,"const FelicaService*, FuriString*"
